id,value,feed_id,created_at,lat,lon,ele
0FJ1YPSKCVMDJTF3X9304ZNF5S,18.349029541015625,2767994,2024-03-25 00:09:58 UTC,,,
0FJ1YZCASKNB2BAVDG3NYBHMBS,19.74700164794922,2767994,2024-03-25 00:24:59 UTC,,,
0FJ1Z7YXVF6NV10ZFBDA7TVXT4,17.83269500732422,2767994,2024-03-25 00:39:59 UTC,,,
0FJ1ZGHM5VR729NH4QJV7JBD8G,16.982955932617188,2767994,2024-03-25 00:54:59 UTC,,,
0FJ1ZS484SVCJ2W2EVBP35BFK7,17.25091552734375,2767994,2024-03-25 01:09:59 UTC,,,
0FJ201PX8T7MK9BGDW27VHNDVE,18.00611114501953,2767994,2024-03-25 01:24:59 UTC,,,
0FJ20A9JFNJC2QY0JG7F2ZW6V4,16.118392944335938,2767994,2024-03-25 01:39:59 UTC,,,
0FJ20JW8SSJH9WJA6SBY0EWBRV,11.347190856933594,2767994,2024-03-25 01:54:59 UTC,,,
0FJ20VEX56Z6EYTFCWTR8VR3ZG,15.099983215332031,2767994,2024-03-25 02:09:59 UTC,,,
0FJ2141J9E62YXXE2E0HCX23CQ,16.11223602294922,2767994,2024-03-25 02:24:59 UTC,,,
0FJ21CM6ZT657EGMX1FXBBKND3,14.8896484375,2767994,2024-03-25 02:39:59 UTC,,,
0FJ21DD5DKR9YN9V0Q3Z0EYD0K,14.574981689453125,2767994,2024-03-25 02:41:20 UTC,,,
0FJ21DZF875F2AP60HXQ9JY2Y3,15.238716125488281,2767994,2024-03-25 02:42:20 UTC,,,
0FJ21EHSENPYBAHXFQPC8AXQZJ,15.036491394042969,2767994,2024-03-25 02:43:20 UTC,,,
0FJ21F4271K2NSQKCX1Q9N5CY4,16.28760528564453,2767994,2024-03-25 02:44:20 UTC,,,
0FJ21FPCCJ7DNWRJJPHN3KRMH7,16.73345947265625,2767994,2024-03-25 02:45:20 UTC,,,
0FJ21G8QNE6XXZ0RDDP9ERBZ3K,16.647308349609375,2767994,2024-03-25 02:46:20 UTC,,,
0FJ21GV0EZX9DWQ7B99STT6CWS,16.86408233642578,2767994,2024-03-25 02:47:20 UTC,,,
0FJ21HDBVWHKQ5NPWWWMYRXQJ8,17.038894653320312,2767994,2024-03-25 02:48:20 UTC,,,
0FJ21HZNQGHGXWFG44A1Z9XBR2,16.60955047607422,2767994,2024-03-25 02:49:20 UTC,,,
0FJ21JHZSDC47GZTHAYA3HENZ4,16.269149780273438,2767994,2024-03-25 02:50:20 UTC,,,
0FJ21K48QYACZBHC9M8WP9TV91,16.385223388671875,2767994,2024-03-25 02:51:20 UTC,,,
0FJ21KPJDZEES2WAW0TD34EW21,16.532073974609375,2767994,2024-03-25 02:52:20 UTC,,,
0FJ21M8WKJ5F0YVF6VB77TKF99,16.885894775390625,2767994,2024-03-25 02:53:20 UTC,,,
0FJ21MV6JE6884NFYWA3GRTB2N,17.003097534179688,2767994,2024-03-25 02:54:20 UTC,,,
0FJ21NDM89R01VAZYXYKM3KS1B,16.082870483398438,2767994,2024-03-25 02:55:21 UTC,,,
0FJ21NZTRWSEJBS6N2F0SCS7TC,16.193634033203125,2767994,2024-03-25 02:56:20 UTC,,,
0FJ21PJ4JTAAT5CDW4HSJ94RR3,15.978538513183594,2767994,2024-03-25 02:57:20 UTC,,,
0FJ21Q4FWSRQDYJV094N8FJV1X,15.956161499023438,2767994,2024-03-25 02:58:20 UTC,,,
0FJ21QPSXT3G9HFBWNANMK8B9N,16.52983856201172,2767994,2024-03-25 02:59:21 UTC,,,
0FJ21R941W681TMJ9H5GK4XSBA,15.249908447265625,2767994,2024-03-25 03:00:21 UTC,,,
0FJ21RVD2KJB7YRXXRHGZEC5NR,15.903861999511719,2767994,2024-03-25 03:01:20 UTC,,,
